gene_id,p22074-s001,p22074-s002,p22074-s003,p22074-s004,p22074-s005,p22074-s006,p22074-s007,p22074-s008,p22074-s009,p22074-s010,p22074-s011,p22074-s012
Gm19214,0,0,0,0,0,0,0,0,0,0,0,0
Rb1cc1,1781,2072,1798,2373,365,1858,3082,3074,2525,2988,2949,2170
X4732440D04Rik,17,42,38,24,8,28,33,28,38,65,67,22
Alkal1,0,0,0,0,0,0,0,0,0,0,0,0
Gm2147,2,6,2,20,2,8,7,4,8,7,8,6
Gm7417,0,0,0,0,0,0,0,0,0,0,0,0
Gm19026,0,0,3,4,0,0,0,0,3,4,0,2
St18,0,0,0,0,0,0,0,0,0,0,0,0
Gm42492,0,0,0,0,0,0,0,0,0,0,0,0
Gm7449,0,0,0,0,1,0,0,0,0,0,0,0
Gm37108,0,0,2,5,0,2,0,0,0,0,1,1
Gm37275,0,0,0,0,0,0,0,0,0,0,0,0
Gm37225,0,0,0,0,0,0,0,0,0,1,0,0
Gm37489,0,0,0,0,0,0,0,0,0,0,0,0
Gm5694,0,0,0,0,0,0,0,0,0,0,0,0
Pcmtd1,1309,1349,1388,1279,168,1054,1846,1710,1272,1904,1530,1527
Gm26983,1,1,1,2,0,4,0,2,0,1,0,0
Gm38372,0,0,1,8,0,0,5,1,3,0,1,2
Gm9826,23,23,41,76,7,30,23,22,13,26,24,22
Nras.ps2,0,0,0,0,0,0,0,0,0,0,0,0
Gm23274,0,0,0,0,0,0,0,0,0,0,0,0
Gm19002,0,0,0,0,0,0,0,0,0,0,0,0
Gm26901,4,6,1,1,0,9,4,3,1,5,5,5
Gm18984,0,0,0,0,0,0,0,0,0,0,0,0
Gm30414,0,0,0,0,0,0,0,0,0,0,0,0
Gm37791,0,0,0,0,0,0,0,0,0,0,0,0
Gm7470,0,1,0,0,0,0,0,0,0,0,0,0
Rps2.ps2,0,0,0,0,0,0,0,0,0,0,0,0
Gm38216,0,0,0,0,0,0,0,0,0,0,0,0
Sntg1,1,0,0,0,0,0,0,0,3,0,1,0
Gm38024,0,0,0,0,0,0,0,0,0,0,0,0
Gm16284,0,0,0,0,0,0,0,0,0,0,0,0
Gm38259,0,0,0,0,0,0,0,0,0,0,0,0
Gm23358,0,0,0,0,0,0,0,0,0,0,0,0
Gm37005,0,0,0,0,0,0,0,0,0,0,0,0
Gm15452,0,0,2,10,0,3,1,0,2,0,0,1
Gm36964,0,1,2,1,0,0,1,0,1,1,0,0
Gm24276,0,1,1,4,0,0,1,1,1,0,1,2
Gm6152,0,0,0,0,0,0,0,0,0,0,0,0
Gm7445,0,0,0,0,0,0,0,2,0,0,0,0
Gm7493,3,1,7,2,0,3,2,1,0,3,1,1
Gm37629,0,0,0,0,0,0,0,0,0,0,0,0
Gm38008,0,0,0,0,0,0,0,0,0,0,0,0
Gm37143,0,0,0,0,0,0,0,0,0,0,0,0
Gm6187,0,0,0,0,0,0,0,0,0,0,0,0
Gm18299,0,0,0,0,0,0,0,0,0,0,0,0
Gm7512,0,0,0,0,0,0,0,0,0,0,0,0
Gm24765,0,0,0,0,0,0,0,0,0,0,0,0
Gm18300,0,0,0,0,0,0,0,0,1,0,0,0
Rrs1,1284,1428,1231,1774,253,1402,1812,1747,1524,1927,1975,1437
Adhfe1,391,398,395,268,56,269,472,521,375,469,529,371
X2610203C22Rik,21,19,27,14,3,11,26,15,14,26,30,23
Gm6161,1,0,0,0,0,0,0,0,1,0,0,0
Vxn,10,15,12,5,0,2,10,8,6,5,5,6
Gm29520,0,0,0,0,0,0,0,0,0,0,0,0
Mybl1,36,31,37,45,4,30,19,9,32,29,23,27
Vcpip1,1710,2000,1639,2628,361,1889,2544,2285,2358,2618,2756,1986
X1700034P13Rik,5,12,7,11,2,7,11,11,8,12,13,5
Sgk3,390,449,446,522,74,468,673,714,582,706,635,519
Gm6195,0,0,0,2,0,0,0,0,0,0,0,1
Gm22607,0,0,0,0,0,0,0,0,0,0,0,0
Mcmdc2,0,2,0,2,0,1,2,11,2,13,3,1
Snhg6,270,230,347,329,37,377,223,199,174,216,221,128
Snord87,0,0,1,0,1,2,0,1,2,1,0,0
Tcf24,1111,995,1156,1318,203,1267,847,968,765,965,1026,717
E330040D14Rik,3,1,3,0,1,10,0,2,1,1,1,0
Ppp1r42,223,161,167,184,28,148,108,115,82,77,131,84
Gm15818,0,0,0,0,0,0,0,0,0,0,0,0
Gm24674,0,0,0,0,0,0,0,0,0,0,0,0
Cops5,3265,3523,3525,3223,470,3178,3541,3441,3102,3972,4114,3100
Cspp1,525,535,505,759,116,548,560,552,493,586,596,471
X1700047N06Rik,0,0,4,0,0,0,0,0,0,2,0,1
